定式化,次元,予算,PSO 中央値 (参照比),CCPSO2 中央値 (参照比),参照 (Dijkstra/最適),CCPSO2 対 PSO
"原稿 3 章 合成ベンチ (中継点スプライン, 人工障害物)",D = 40 (K=20),評価数・seed 数の 記載なし (単一値),5.50 倍 (コスト 1702.32),1.01 倍 (コスト 312.69),証明済み最適解 309.63,"CCPSO2 の勝ち (1 事例, 統計なし)"
"御坊 実市街地 連続スプライン (K=20 中継点, 自由平面)",D = 40,"5,000 評価 × 5 seed × 3 ペア",11.7 倍 [17.5 / 5.40 / 11.7],17.7 倍 [23.6 / 22.4 / 11.8],時間依存 Dijkstra の 20 点スプライン化 [819 / 1383 / 1174] m,CCPSO2 4 勝 11 敗 (同一 seed 15 対戦)
同上 (予算 4 倍) 連続スプライン,D = 40,"20,000 評価 × 5 seed × 3 ペア",9.28 倍 [16.6 / 4.03 / 10.6],7.79 倍 [14.1 / 6.42 / 6.21],時間依存 Dijkstra の 20 点スプライン化 [819 / 1383 / 1174] m,CCPSO2 7 勝 8 敗 (同一 seed 15 対戦)
御坊 実市街地 道路制約 via-point (M=5 経由点),D = 10,"5,000 評価 × 5 seed × 3 ペア",1.11 倍 [1.17 / 1.11 / 1.00],1.17 倍 [1.18 / 1.11 / 1.05],時間依存 Dijkstra (= 道路上の厳密解) [598 / 738 / 738] m,CCPSO2 0 勝 10 敗 5 分 (同一 seed 15 対戦)
御坊 実市街地 道路制約 via-point (M=20 経由点),D = 40,"5,000 評価 × 5 seed × 3 ペア",72.6 倍 [71.7 / 114 / 50.4],114 倍 [221 / 51.9 / 51.1],時間依存 Dijkstra (= 道路上の厳密解) [598 / 738 / 738] m,CCPSO2 7 勝 8 敗 (同一 seed 15 対戦)

--- 生値 (ペア別中央値コスト [m] と参照比) ---
定式化,ペア,参照コスト[m],PSO中央値[m],PSO参照比,CCPSO2中央値[m],CCPSO2参照比
原稿3章 合成40次元,-,309.63,1702.32,5.4979,312.69,1.0099
"御坊 実市街地 連続スプライン (K=20 中継点, 自由平面)",名屋,818.8,14308.96,17.4755,19332.3,23.6105
"御坊 実市街地 連続スプライン (K=20 中継点, 自由平面)",薗,1383.23,7462.88,5.3953,31035.1,22.4367
"御坊 実市街地 連続スプライン (K=20 中継点, 自由平面)",市街中心,1174.0,13783.1,11.7403,13823.58,11.7748
同上 (予算 4 倍) 連続スプライン,名屋,818.8,13576.96,16.5815,11563.4,14.1224
同上 (予算 4 倍) 連続スプライン,薗,1383.23,5570.42,4.0271,8875.44,6.4165
同上 (予算 4 倍) 連続スプライン,市街中心,1174.0,12446.99,10.6022,7285.52,6.2057
御坊 実市街地 道路制約 via-point (M=5 経由点),名屋,598.17,700.32,1.1708,702.86,1.175
御坊 実市街地 道路制約 via-point (M=5 経由点),薗,738.04,817.24,1.1073,817.24,1.1073
御坊 実市街地 道路制約 via-point (M=5 経由点),市街中心,737.51,737.51,1.0,776.49,1.0529
御坊 実市街地 道路制約 via-point (M=20 経由点),名屋,598.17,42879.32,71.6842,132479.28,221.4743
御坊 実市街地 道路制約 via-point (M=20 経由点),薗,738.04,84126.35,113.9862,38323.47,51.926
御坊 実市街地 道路制約 via-point (M=20 経由点),市街中心,737.51,37140.92,50.3599,37667.16,51.0734
