area,name,manual_min,manual_depth,match,csv_name,lat,lon,in_grid,dem_m,r8_min,r8_depth,r8_min_nb,r8_depth_nb
名屋,名屋集会場,25,6.9,座標なし,,,,,,,,,
新町,小竹八幡神社,27,5.2,座標なし,,,,,,,,,
薗,薗津波避難タワー,28,2.8,別名一致,薗地区津波避難タワー,33.8871581,135.161616,True,5.39,32.0,1.53,29.0,2.6
椿,御坊市役所,32,3.2,同名,御坊市役所,33.891263,135.152046,True,3.39,33.0,1.86,33.0,2.23
御坊,御坊幼稚園,30,5.5,座標なし,,,,,,,,,
紀小竹,御坊小学校,32,4.0,同名,御坊小学校,33.8919485,135.154961,True,3.59,33.0,1.96,33.0,2.76
島,島会館,32,3.0,同名,島会館,33.8913026,135.161957,True,4.29,33.0,1.98,33.0,2.43
春日,日高高等学校,37,1.1,同名,日高高等学校,33.8963634,135.157826,True,5.29,,0.0,37.0,0.58
財部,オークワロマンシティ,35,1.2,別名一致,オークワ ロマンシティ御坊店,33.897732,135.149438,True,3.69,,0.01,39.0,0.32
富安,しらゆり保育園,122,0.6,同名,しらゆり保育園,33.9158701,135.152255,True,3.19,,0.0,,0.0
小松原,小松原西会館,44,0.4,同名,小松原西会館,33.9034159,135.148417,True,3.69,,0.0,,0.0
藤井,藤田小学校（運動場）,45,0.1,別名一致,藤田小学校,33.907873,135.173905,True,8.5,,0.0,,0.0
吉田,100 円ショップセリア御坊インター店,51,0.3,座標なし,,,,,,,,,
野口,ケーズデンキ御坊店,38,0.6,座標なし,,,,,,,,,
岩内,フォレストイン御坊（南側手前）,33,2.1,座標なし,,,,,,,,,
熊野,熊野会館（駐車場）,39,0.3,別名一致,熊野会館,33.8885244,135.181447,True,13.4,,0.0,,0.07
北塩屋,日高川味処,25,6.4,座標なし,,,,,,,,,
南塩屋,塩屋小学校,24,7.5,同名,塩屋小学校,33.8683579,135.163273,False,,,,,
野島,はし長水産直売所,28,1.1,座標なし,,,,,,,,,
上野,和歌山高専（運動場）,27,1.3,別名一致,国立和歌山高専,33.8342513,135.177669,False,,,,,
楠井,JA 紀州下楠井集出荷場,18,9.1,座標なし,,,,,,,,,
