pair,N,s,group_sizes,p_cauchy,seed,cost,evals,cycles,elapsed_s
naya,20,8,,0.5,0,348165.7,5020,50,2.5
naya,20,8,,0.5,1,332163.2,5020,50,2.3
naya,20,4,,0.5,0,103947.5,5020,25,1.8
naya,20,4,,0.5,1,225324.8,5020,25,2.2
naya,20,2,,0.5,0,13307.7,5220,13,1.6
naya,20,2,,0.5,1,24623.8,5220,13,1.7
naya,20,1,,0.5,0,8750.7,5620,7,1.6
naya,20,1,,0.5,1,71764.1,5620,7,1.7
naya,20,40,,0.5,0,423435.4,5000,249,2.3
naya,20,40,,0.5,1,407558.2,5000,249,2.3
naya,10,8,,0.5,0,333046.2,5010,100,2.2
naya,10,8,,0.5,1,291348.0,5010,100,2.0
naya,30,8,,0.5,0,513444.0,5130,34,2.4
naya,30,8,,0.5,1,318385.5,5130,34,2.4
naya,10,2,,0.5,0,108734.7,5010,25,1.7
naya,10,2,,0.5,1,62997.7,5010,25,1.6
naya,5,2,,0.5,0,220473.7,5005,50,1.7
naya,5,2,,0.5,1,65670.3,5005,50,1.6
naya,10,1,,0.5,0,199117.8,5210,13,1.7
naya,10,1,,0.5,1,56630.7,5210,13,1.5
naya,20,,"2,5,10",0.5,0,13636.6,5220,13,1.6
naya,20,,"2,5,10",0.5,1,277758.2,5380,23,2.0
naya,10,,"1,2,4",0.5,0,6013.1,5210,13,1.5
naya,10,,"1,2,4",0.5,1,189967.4,5010,25,1.7
naya,20,8,,0.0,0,330377.1,5020,50,2.2
naya,20,8,,0.0,1,212478.2,5020,50,2.0
naya,20,8,,1.0,0,590994.9,5020,50,2.5
naya,20,8,,1.0,1,600761.6,5020,50,2.5
naya,20,2,,0.0,0,19002.1,5220,13,1.5
naya,20,2,,0.0,1,54469.8,5220,13,1.6
naya,10,2,,0.0,0,10357.1,5010,25,1.5
naya,10,2,,0.0,1,96315.1,5010,25,1.5
