M,pair,s,seed,cost,ratio_to_ref,evals,elapsed_s
5,naya,1,0,702.86,1.175,5000,0.5
5,naya,1,1,702.86,1.175,5000,0.6
5,naya,2,0,702.86,1.175,5000,1.4
5,naya,2,1,662.94,1.1083,5000,1.5
5,naya,5,0,816.54,1.3651,5000,1.9
5,naya,5,1,702.86,1.175,5000,1.9
5,sono,1,0,960.13,1.3009,5000,0.6
5,sono,1,1,1466.4,1.9869,5000,0.6
5,sono,2,0,934.73,1.2665,5000,1.4
5,sono,2,1,905.85,1.2274,5000,1.4
5,sono,5,0,817.24,1.1073,5000,1.6
5,sono,5,1,817.24,1.1073,5000,1.8
5,center,1,0,756.74,1.0261,5000,0.6
5,center,1,1,1029.1,1.3954,5000,0.7
5,center,2,0,801.58,1.0869,5000,1.5
5,center,2,1,801.58,1.0869,5000,1.7
5,center,5,0,745.49,1.0108,5000,2.0
5,center,5,1,776.49,1.0529,5000,1.9
20,naya,1,0,433605.75,724.8858,5000,1.5
20,naya,1,1,219562.52,367.0564,5000,1.7
20,naya,2,0,251573.08,420.5704,5000,2.4
20,naya,2,1,182844.22,305.6721,5000,2.4
20,naya,5,0,478988.32,800.7547,5000,3.1
20,naya,5,1,226895.07,379.3146,5000,2.9
20,sono,1,0,372513.17,504.7346,5000,1.8
20,sono,1,1,278358.51,377.1603,5000,1.8
20,sono,2,0,1208.99,1.6381,5000,2.1
20,sono,2,1,230627.6,312.4876,5000,2.6
20,sono,5,0,305259.15,413.6092,5000,3.0
20,sono,5,1,204275.0,276.7813,5000,2.9
20,center,1,0,144033.36,195.2968,5000,1.5
20,center,1,1,123271.85,167.146,5000,1.8
20,center,2,0,21660.59,29.3699,5000,2.3
20,center,2,1,83966.08,113.8508,5000,2.4
20,center,5,0,201124.58,272.7076,5000,3.0
20,center,5,1,242226.93,328.4388,5000,2.9
