pair,M,method,seed,s_group,cost,length_m,time_min,p_flood,p_late,late_s,flood_len_m,n_flood,n_off,n_bld,evals,evals_run,elapsed_s,flood_respected,graph_arrival_min
naya,,dijkstra_static,,,598.17,598.17,14.97,0.0,0.0,0.0,0.0,0,5,0,,,,False,14.97
naya,,dijkstra_timedep,,,598.17,598.17,14.97,0.0,0.0,0.0,0.0,0,5,0,,,,True,14.97
naya,5,pso,0,,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5010,1.1,,
naya,5,ccpso2,0,5,816.54,816.54,18.61,0.0,0.0,0.0,0.0,0,5,0,5000,5020,1.9,,
naya,5,pso,1,,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5010,0.9,,
naya,5,ccpso2,1,5,702.86,702.86,16.71,0.0,0.0,0.0,0.0,0,5,0,5000,5020,1.9,,
naya,5,pso,2,,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5010,1.1,,
naya,5,ccpso2,2,5,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5020,1.9,,
naya,5,pso,3,,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5010,1.1,,
naya,5,ccpso2,3,5,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5020,2.1,,
naya,5,pso,4,,700.32,700.32,16.67,0.0,0.0,0.0,0.0,0,5,0,5000,5010,0.9,,
naya,5,ccpso2,4,5,737.97,737.97,17.3,0.0,0.0,0.0,0.0,0,5,0,5000,5020,2.1,,
naya,20,pso,0,,28567.27,1480.94,29.68,10992.15,16094.18,160.94,219.84,111,5,0,5000,5010,2.1,,
naya,20,ccpso2,0,2,251573.08,3017.65,55.29,78790.77,169764.66,1697.65,1575.82,789,5,0,5000,5220,2.5,,
naya,20,pso,1,,30880.9,1483.06,29.72,13091.71,16306.13,163.06,261.83,132,5,2,5000,5010,2.3,,
naya,20,ccpso2,1,2,182844.22,2600.7,48.34,52173.85,128069.67,1280.7,1043.48,523,5,6,5000,5220,2.5,,
naya,20,pso,2,,42879.32,1639.43,32.32,9296.77,31943.11,319.43,185.94,94,5,0,5000,5010,2.4,,
naya,20,ccpso2,2,2,132479.28,2189.91,41.5,43298.25,86991.12,869.91,865.96,434,5,0,5000,5220,2.3,,
naya,20,pso,3,,220840.22,2783.65,51.39,71691.1,146365.46,1463.65,1433.82,718,5,0,5000,5010,2.4,,
naya,20,ccpso2,3,2,76492.14,1813.81,35.23,25297.35,49380.98,493.81,505.95,254,5,0,5000,5220,2.4,,
naya,20,pso,4,,57693.61,1700.13,33.34,17980.25,38013.23,380.13,359.6,181,5,0,5000,5010,2.0,,
naya,20,ccpso2,4,2,83236.11,1976.7,37.94,15589.72,65669.69,656.7,311.79,157,5,0,5000,5220,2.4,,
sono,,dijkstra_static,,,738.04,738.04,17.3,0.0,0.0,0.0,0.0,0,7,0,,,,False,17.3
sono,,dijkstra_timedep,,,738.04,738.04,17.3,0.0,0.0,0.0,0.0,0,7,0,,,,True,17.3
sono,5,pso,0,,738.04,738.04,17.3,0.0,0.0,0.0,0.0,0,7,0,5000,5010,1.3,,
sono,5,ccpso2,0,5,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5020,1.7,,
sono,5,pso,1,,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5010,1.0,,
sono,5,ccpso2,1,5,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5020,1.9,,
sono,5,pso,2,,738.04,738.04,17.3,0.0,0.0,0.0,0.0,0,7,0,5000,5010,1.0,,
sono,5,ccpso2,2,5,885.56,885.56,19.76,0.0,0.0,0.0,0.0,0,7,0,5000,5020,2.0,,
sono,5,pso,3,,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5010,0.9,,
sono,5,ccpso2,3,5,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5020,2.0,,
sono,5,pso,4,,817.24,817.24,18.62,0.0,0.0,0.0,0.0,0,7,0,5000,5010,0.6,,
sono,5,ccpso2,4,5,934.73,934.73,20.58,0.0,0.0,0.0,0.0,0,7,0,5000,5020,1.6,,
sono,20,pso,0,,84126.35,2218.25,41.97,22082.63,59825.47,598.25,441.65,222,7,0,5000,5010,1.9,,
sono,20,ccpso2,0,2,1208.99,1208.99,25.15,0.0,0.0,0.0,0.0,0,7,0,5000,5220,2.0,,
sono,20,pso,1,,70386.15,2037.55,38.96,26594.07,41754.54,417.55,531.88,267,7,0,5000,5010,2.2,,
sono,20,ccpso2,1,2,230627.6,3138.3,57.31,75659.07,151830.23,1518.3,1513.18,758,7,0,5000,5220,2.6,,
sono,20,pso,2,,53588.58,1950.52,37.51,18585.91,33052.15,330.52,371.72,187,7,0,5000,5010,2.2,,
sono,20,ccpso2,2,2,139437.26,2560.94,47.68,42782.3,94094.02,940.94,855.65,429,7,4,5000,5220,2.4,,
sono,20,pso,3,,110535.14,2358.05,44.3,34371.64,73805.45,738.05,687.43,345,7,0,5000,5010,2.3,,
sono,20,ccpso2,3,2,5519.45,1652.67,32.54,599.52,3267.26,32.67,11.99,7,7,5,5000,5220,2.3,,
sono,20,pso,4,,134254.3,2460.28,46.0,47766.51,84027.51,840.28,955.33,479,7,24,5000,5010,2.1,,
sono,20,ccpso2,4,2,38323.47,1920.1,37.0,6393.66,30009.71,300.1,127.87,65,7,0,5000,5220,2.3,,
center,,dijkstra_static,,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,,,,False,17.3
center,,dijkstra_timedep,,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,,,,True,17.3
center,5,pso,0,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,5000,5010,1.0,,
center,5,ccpso2,0,5,745.49,745.49,17.42,0.0,0.0,0.0,0.0,0,0,0,5000,5020,1.9,,
center,5,pso,1,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,5000,5010,1.2,,
center,5,ccpso2,1,5,776.49,776.49,17.94,0.0,0.0,0.0,0.0,0,0,0,5000,5020,1.8,,
center,5,pso,2,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,5000,5010,1.1,,
center,5,ccpso2,2,5,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,5000,5020,1.9,,
center,5,pso,3,,737.51,737.51,17.29,0.0,0.0,0.0,0.0,0,0,0,5000,5010,0.7,,
center,5,ccpso2,3,5,788.88,788.88,18.15,0.0,0.0,0.0,0.0,0,0,0,5000,5020,1.7,,
center,5,pso,4,,756.74,756.74,17.61,0.0,0.0,0.0,0.0,0,0,0,5000,5010,0.9,,
center,5,ccpso2,4,5,918.55,918.55,20.31,0.0,0.0,0.0,0.0,0,0,0,5000,5020,2.0,,
center,20,pso,0,,23075.43,1881.94,36.37,6999.77,14193.73,141.94,140.0,71,0,0,5000,5010,2.0,,
center,20,ccpso2,0,2,21660.59,1852.17,35.87,8591.51,11216.91,112.17,171.83,87,0,7,5000,5220,2.3,,
center,20,pso,1,,37140.92,1962.86,37.71,12892.48,22285.58,222.86,257.85,130,0,0,5000,5010,2.0,,
center,20,ccpso2,1,2,83966.08,2309.61,43.49,24695.8,56960.68,569.61,493.92,248,0,0,5000,5220,2.4,,
center,20,pso,2,,1269.93,1269.93,26.17,0.0,0.0,0.0,0.0,0,0,0,5000,5010,1.8,,
center,20,ccpso2,2,2,35207.18,1953.56,37.56,11897.34,21356.28,213.56,237.95,120,0,0,5000,5220,2.2,,
center,20,pso,3,,61025.14,2107.26,40.12,22192.18,36725.7,367.26,443.84,223,0,0,5000,5010,2.2,,
center,20,ccpso2,3,2,50251.22,2061.9,39.37,15999.23,32190.09,321.9,319.98,161,0,0,5000,5220,2.4,,
center,20,pso,4,,42670.6,1971.99,37.87,17499.89,23198.73,231.99,350.0,176,0,0,5000,5010,2.1,,
center,20,ccpso2,4,2,37667.16,1978.01,37.97,11888.05,23801.1,238.01,237.76,120,0,0,5000,5220,2.4,,
naya,5,MEDIAN_pso,,,700.32,,,,,,,,,,,,,,
naya,5,MEDIAN_ccpso2,,,702.86,,,,,,,,,,,,,,
naya,5,WINS_ccpso2_0_of_5,,,,,,,,,,,,,,,,,
naya,20,MEDIAN_pso,,,42879.32,,,,,,,,,,,,,,
naya,20,MEDIAN_ccpso2,,,132479.28,,,,,,,,,,,,,,
naya,20,WINS_ccpso2_1_of_5,,,,,,,,,,,,,,,,,
sono,5,MEDIAN_pso,,,817.24,,,,,,,,,,,,,,
sono,5,MEDIAN_ccpso2,,,817.24,,,,,,,,,,,,,,
sono,5,WINS_ccpso2_0_of_5,,,,,,,,,,,,,,,,,
sono,20,MEDIAN_pso,,,84126.35,,,,,,,,,,,,,,
sono,20,MEDIAN_ccpso2,,,38323.47,,,,,,,,,,,,,,
