pair,method,seed,cost,length_m,time_min,p_flood,p_offroad,p_building,p_late,n_flood,n_off,n_bld,evals,elapsed_s,flood_respected,snap_m,graph_arrival_min
naya,dijkstra,,678.54,598.18,14.97,0.0,80.36,0.0,0.0,0,7,0,,,True,0.01,14.97
naya,dijkstra_spline20,,818.8,560.19,14.34,0.0,258.61,0.0,0.0,0,28,0,,,,,
naya,pso,0,7460.61,1258.06,25.97,0.0,6202.55,0.0,0.0,0,293,0,4980,1.4,,,
naya,ccpso2,0,13307.72,1264.35,26.07,0.0,11477.65,565.72,0.0,0,480,6,5220,1.6,,,
naya,pso,1,30649.13,1382.73,28.05,5764.7,16398.52,830.24,6272.94,59,596,8,4980,1.4,,,
naya,ccpso2,1,24623.76,1332.93,27.22,3065.74,17954.98,976.89,1293.22,32,526,9,5220,1.7,,,
naya,pso,2,9941.64,1271.65,26.19,0.0,8067.77,602.21,0.0,0,438,6,4980,1.6,,,
naya,ccpso2,2,89347.72,1473.2,29.55,10806.04,60497.92,1250.44,15320.13,110,635,15,5220,1.7,,,
naya,pso,3,6710.86,1191.51,24.86,0.0,5519.35,0.0,0.0,0,288,0,4980,1.3,,,
naya,ccpso2,3,50948.24,1539.62,30.66,6318.4,17853.29,3274.57,21962.37,67,640,33,5220,1.8,,,
naya,pso,4,14050.7,1320.17,27.0,0.0,12713.42,0.0,17.11,1,370,0,4980,1.4,,,
naya,ccpso2,4,40379.64,1305.53,26.76,0.0,38586.79,487.33,0.0,0,529,5,5220,1.5,,,
sono,dijkstra,,890.17,738.06,17.3,0.0,152.11,0.0,0.0,0,8,0,,,True,0.02,17.3
sono,dijkstra_spline20,,1383.23,682.77,16.38,0.0,700.47,0.0,0.0,0,65,0,,,,,
sono,pso,0,8473.03,1478.35,29.64,0.0,6994.69,0.0,0.0,0,459,0,4980,1.4,,,
sono,ccpso2,0,59329.51,1882.8,36.38,12016.47,18947.35,203.09,26279.81,127,739,2,5220,1.8,,,
sono,pso,1,5867.19,1240.27,25.67,0.0,4626.92,0.0,0.0,0,308,0,4980,1.3,,,
sono,ccpso2,1,25331.25,1671.65,32.86,7382.15,11112.0,0.0,5165.45,75,598,0,5220,1.7,,,
sono,pso,2,8602.36,1530.81,30.51,0.0,7071.56,0.0,0.0,0,464,0,4980,1.3,,,
sono,ccpso2,2,90511.79,2119.13,40.32,22296.12,16183.37,0.0,49913.17,227,805,0,5220,1.7,,,
sono,pso,3,43164.58,1785.6,34.76,10764.18,14054.43,0.0,16560.37,99,686,0,4980,1.5,,,
sono,ccpso2,3,9249.33,1312.58,26.88,0.0,7646.84,289.91,0.0,0,445,3,5220,1.7,,,
sono,pso,4,4605.58,1248.05,25.8,0.0,3357.53,0.0,0.0,0,249,0,4980,1.4,,,
sono,ccpso2,4,97352.92,2146.75,40.78,25652.32,15907.32,971.99,52674.54,256,783,10,5220,1.9,,,
center,dijkstra,,2548.67,795.0,18.25,0.0,1555.43,198.23,0.0,0,27,4,,,True,0.05,18.25
center,dijkstra_spline20,,2848.6,763.64,17.73,0.0,1890.19,194.77,0.0,0,66,3,,,,,
center,pso,0,7426.44,1279.74,26.33,0.0,6146.71,0.0,0.0,0,383,1,4980,1.3,,,
center,ccpso2,0,17174.46,1631.88,32.2,0.0,15197.76,344.81,0.0,0,587,2,5220,1.8,,,
center,pso,1,7816.07,1584.31,31.41,0.0,5337.34,894.41,0.0,0,369,5,4980,1.3,,,
center,ccpso2,1,33026.14,1823.79,35.4,4112.39,11930.44,780.58,14378.95,38,631,7,5220,1.7,,,
center,pso,2,9553.5,1459.07,29.32,0.0,7946.35,148.08,0.0,0,432,2,4980,1.4,,,
center,ccpso2,2,23342.66,1675.41,32.92,0.0,20709.87,957.37,0.0,0,679,11,5220,1.7,,,
center,pso,3,9084.82,1395.97,28.27,0.0,6874.15,814.69,0.0,0,336,5,4980,1.4,,,
center,ccpso2,3,15337.73,1661.41,32.69,0.0,13234.47,441.85,0.0,0,538,3,5220,1.6,,,
center,pso,4,13969.94,1603.42,31.72,0.0,12207.71,158.81,0.0,0,404,3,4980,1.4,,,
center,ccpso2,4,16402.05,1587.01,31.45,0.0,14256.05,558.98,0.0,0,541,7,5220,1.7,,,
naya,MEDIAN_pso,,9941.64,,,,,,,,,,,,,,
naya,MEDIAN_ccpso2,,40379.64,,,,,,,,,,,,,,
naya,WINS_ccpso2_1_of_5,,,,,,,,,,,,,,,,
sono,MEDIAN_pso,,8473.03,,,,,,,,,,,,,,
sono,MEDIAN_ccpso2,,59329.51,,,,,,,,,,,,,,
sono,WINS_ccpso2_1_of_5,,,,,,,,,,,,,,,,
center,MEDIAN_pso,,9084.82,,,,,,,,,,,,,,
center,MEDIAN_ccpso2,,17174.46,,,,,,,,,,,,,,
center,WINS_ccpso2_0_of_5,,,,,,,,,,,,,,,,
