pair,method,seed,cost,length_m,time_min,p_flood,p_offroad,p_building,p_late,n_flood,n_off,n_bld,evals,evals_run,elapsed_s,flood_respected,snap_m,graph_arrival_min
naya,dijkstra,,678.54,598.18,14.97,0.0,80.36,0.0,0.0,0,7,0,,,,True,0.01,14.97
naya,dijkstra_spline20,,818.8,560.19,14.34,0.0,258.61,0.0,0.0,0,28,0,,,,,,
naya,pso,0,6531.95,1082.25,23.04,0.0,5223.85,225.84,0.0,0,310,2,20000,20010,8.5,,,
naya,ccpso2,0,42223.83,1526.22,30.44,6800.2,12099.6,1175.89,20621.92,68,558,11,20000,20020,10.9,,,
naya,pso,1,64814.5,1594.99,31.58,17025.02,12110.87,6584.15,27499.46,174,484,60,20000,20010,9.2,,,
naya,ccpso2,1,10973.12,1219.6,25.33,0.0,9432.81,320.72,0.0,0,424,3,20000,20020,10.4,,,
naya,pso,2,13576.96,1260.85,26.01,0.0,11235.71,1080.41,0.0,0,432,10,20000,20010,9.0,,,
naya,ccpso2,2,8802.01,1281.67,26.36,0.0,7520.34,0.0,0.0,0,346,0,20000,20020,10.5,,,
naya,pso,3,9858.76,1298.39,26.64,0.0,8029.44,530.93,0.0,0,358,5,20000,20010,9.0,,,
naya,ccpso2,3,11563.4,1320.69,27.01,0.0,8522.99,1650.26,69.45,1,438,15,20000,20020,10.2,,,
naya,pso,4,33323.31,1319.89,27.0,667.78,10706.6,20629.05,0.0,7,337,201,20000,20010,9.1,,,
naya,ccpso2,4,48126.11,1279.76,26.33,0.0,23195.66,23650.69,0.0,0,466,230,20000,20020,10.6,,,
sono,dijkstra,,890.17,738.06,17.3,0.0,152.11,0.0,0.0,0,8,0,,,,True,0.02,17.3
sono,dijkstra_spline20,,1383.23,682.77,16.38,0.0,700.47,0.0,0.0,0,65,0,,,,,,
sono,pso,0,5570.42,1459.01,29.32,0.0,4111.41,0.0,0.0,0,331,0,20000,20010,8.7,,,
sono,ccpso2,0,8481.23,1619.41,31.99,501.12,6360.7,0.0,0.0,7,442,0,20000,20020,11.2,,,
sono,pso,1,5441.38,1218.5,25.31,0.0,4222.87,0.0,0.0,0,275,0,20000,20010,8.6,,,
sono,ccpso2,1,8875.44,1537.63,30.63,0.0,7337.81,0.0,0.0,0,482,0,20000,20020,11.3,,,
sono,pso,2,5963.37,1581.32,31.36,0.0,4382.05,0.0,0.0,0,350,0,20000,20010,8.9,,,
sono,ccpso2,2,62329.99,1929.06,37.15,15411.39,14083.32,0.0,30906.21,148,715,0,20000,20020,11.9,,,
sono,pso,3,6245.44,1425.13,28.75,0.0,4820.32,0.0,0.0,0,344,0,20000,20010,8.9,,,
sono,ccpso2,3,5440.58,1385.63,28.09,0.0,4054.95,0.0,0.0,0,307,0,20000,20020,10.3,,,
sono,pso,4,4798.4,1343.31,27.39,0.0,3455.09,0.0,0.0,0,274,0,20000,20010,8.7,,,
sono,ccpso2,4,12198.52,1588.36,31.47,497.27,10112.89,0.0,0.0,5,591,0,20000,20020,11.0,,,
center,dijkstra,,737.56,737.56,17.29,0.0,0.0,0.0,0.0,0,0,0,,,,True,0.05,17.3
center,dijkstra_spline20,,1174.0,702.16,16.7,0.0,471.84,0.0,0.0,0,52,0,,,,,,
center,pso,0,28677.67,1790.04,34.83,2468.61,13865.39,5549.61,5004.03,26,646,55,20000,20010,9.3,,,
center,ccpso2,0,7168.54,1699.13,33.32,0.0,5469.41,0.0,0.0,0,424,0,20000,20020,10.8,,,
center,pso,1,12678.34,1738.12,33.97,0.0,10089.43,850.8,0.0,0,541,8,20000,20010,8.9,,,
center,ccpso2,1,7285.52,1699.37,33.32,0.0,5586.14,0.0,0.0,0,407,0,20000,20020,10.6,,,
center,pso,2,12446.99,1704.9,33.41,0.0,10182.07,560.02,0.0,0,376,2,20000,20010,8.8,,,
center,ccpso2,2,5383.54,1408.22,28.47,0.0,3975.33,0.0,0.0,0,331,0,20000,20020,10.2,,,
center,pso,3,9030.74,1738.32,33.97,0.0,7292.42,0.0,0.0,0,431,0,20000,20010,8.9,,,
center,ccpso2,3,9145.55,1530.36,30.51,0.0,7615.19,0.0,0.0,0,435,0,20000,20020,10.5,,,
center,pso,4,10897.54,1638.95,32.32,0.0,9258.59,0.0,0.0,0,443,0,20000,20010,8.9,,,
center,ccpso2,4,8306.27,1725.02,33.75,0.0,6581.24,0.0,0.0,0,430,0,20000,20020,10.6,,,
naya,MEDIAN_pso,,13576.96,,,,,,,,,,,,,,,
naya,MEDIAN_ccpso2,,11563.4,,,,,,,,,,,,,,,
naya,WINS_ccpso2_2_of_5,,,,,,,,,,,,,,,,,
sono,MEDIAN_pso,,5570.42,,,,,,,,,,,,,,,
sono,MEDIAN_ccpso2,,8875.44,,,,,,,,,,,,,,,
sono,WINS_ccpso2_1_of_5,,,,,,,,,,,,,,,,,
center,MEDIAN_pso,,12446.99,,,,,,,,,,,,,,,
center,MEDIAN_ccpso2,,7285.52,,,,,,,,,,,,,,,
center,WINS_ccpso2_4_of_5,,,,,,,,,,,,,,,,,
